split,channel,mean,std,min,max,p25,p50,p75,samples,windows,label_0,label_1
train,acc1_x,0.0004519484646152705,1.0091055631637573,-13.893425941467285,11.616253852844238,-0.19932334125041962,0.029717860743403435,0.24618518352508545,55423,55423,50939,4484
train,acc1_y,-0.012069466523826122,1.0141985416412354,-6.899748802185059,6.94431734085083,-0.5540494918823242,-0.37785404920578003,0.8173342943191528,55423,55423,50939,4484
train,acc1_z,-0.032297126948833466,0.9898527264595032,-10.376323699951172,8.839292526245117,-0.5879548788070679,-0.08179406076669693,0.43841221928596497,55423,55423,50939,4484
train,gyro_x,0.0005239626625552773,1.0731570720672607,-36.890625,38.15951156616211,-0.19207100570201874,6.42880768282339e-05,0.2295830398797989,55423,55423,50939,4484
train,gyro_y,-0.0017215393017977476,1.0696358680725098,-29.68882179260254,27.568429946899414,-0.1633477360010147,0.0019848670344799757,0.16979634761810303,55423,55423,50939,4484
train,gyro_z,-0.00021066534100100398,1.0740610361099243,-38.0955696105957,37.64185333251953,-0.13682636618614197,0.0021993829868733883,0.13360103964805603,55423,55423,50939,4484
val,acc1_x,-0.0917421504855156,1.0845261812210083,-12.008739471435547,11.132498741149902,-0.2933177053928375,-0.03604457527399063,0.19905433058738708,15073,15073,13573,1500
val,acc1_y,0.00972958654165268,1.042188048362732,-7.2551069259643555,6.51521635055542,-0.567017674446106,-0.3821351230144501,0.9506443738937378,15073,15073,13573,1500
val,acc1_z,0.324813574552536,1.0002189874649048,-8.203133583068848,9.205741882324219,-0.2096858024597168,0.35594192147254944,0.8693861961364746,15073,15073,13573,1500
val,gyro_x,-0.0013114702887833118,1.174360752105713,-18.981172561645508,17.545438766479492,-0.17272140085697174,0.003564070910215378,0.20772318542003632,15073,15073,13573,1500
val,gyro_y,0.011319789104163647,1.09328293800354,-11.756068229675293,18.58952522277832,-0.13262253999710083,0.044456418603658676,0.16391317546367645,15073,15073,13573,1500
val,gyro_z,0.014650598168373108,1.1315267086029053,-16.52503776550293,15.06413745880127,-0.10612878948450089,0.004393082577735186,0.11995826661586761,15073,15073,13573,1500
test,acc1_x,-0.04080374538898468,1.0060316324234009,-11.206114768981934,9.333191871643066,-0.2084510177373886,0.018566584214568138,0.25429895520210266,13627,13627,12427,1200
test,acc1_y,-0.057394471019506454,1.009128451347351,-5.635878086090088,6.712104320526123,-0.5890179872512817,-0.416073739528656,0.7306176424026489,13627,13627,12427,1200
test,acc1_z,0.15006963908672333,0.9993950128555298,-9.072641372680664,11.016378402709961,-0.4315975606441498,0.11883915960788727,0.6742082834243774,13627,13627,12427,1200
test,gyro_x,0.04141983389854431,1.1941379308700562,-48.521175384521484,18.86976432800293,-0.1784677952528,0.025122715160250664,0.2561231255531311,13627,13627,12427,1200
test,gyro_y,-0.02704186551272869,1.0485963821411133,-15.268083572387695,15.122749328613281,-0.18100282549858093,-0.019956178963184357,0.15307731926441193,13627,13627,12427,1200
test,gyro_z,0.008053909055888653,1.1650021076202393,-15.850117683410645,20.004945755004883,-0.12824808061122894,-0.0004889860865660012,0.1322673112154007,13627,13627,12427,1200
