split,class_name,channel,mean,median,std,variance,rms,min,max,skewness,kurtosis,sample_count
train,All,acc1_x,0.0004519508772791703,0.029717860743403435,1.009105617531628,1.0182941473338882,1.009105718739857,-13.893425941467285,11.616253852844238,-0.17235785278571653,5.895717505264514,3547072
train,All,acc1_y,-0.012069461394542881,-0.37785404920578003,1.0141985890311052,1.0285987779926846,1.0142704027482212,-6.899748802185059,6.94431734085083,0.20275889530598878,0.7253261441350474,3547072
train,All,acc1_z,-0.03229712839586144,-0.08179406076669693,0.9898527173698284,0.9798084020844334,0.990379476053019,-10.376323699951172,8.839292526245117,0.31406461781906597,1.2219058849710525,3547072
train,All,gyro_x,0.0005239614046113852,6.42880768282339e-05,1.0731570873874796,1.1516661342099783,1.0731572152977082,-36.890625,38.15951156616211,0.450478470546466,38.5635400918302,3547072
train,All,gyro_y,-0.001721540477951286,0.0019848670344799757,1.0696358543854574,1.1441208609869074,1.0696372397633342,-29.68882179260254,27.568429946899414,-0.1457941304959563,37.53383304843917,3547072
train,All,gyro_z,-0.00021066551745991464,0.0021993828704580665,1.074061069132921,1.1536071802269536,1.0740610897928078,-38.0955696105957,37.64185333251953,-0.5105980154262723,101.80069677184996,3547072
train,ADL,acc1_x,0.010233886967913552,0.031702619045972824,0.9322667558237494,0.8691213040141383,0.9323229249871583,-9.023159980773926,6.12924861907959,-0.06095291134951188,3.863339123730171,3260096
train,ADL,acc1_y,-0.07602790877576629,-0.40843844413757324,0.9772966533710515,0.9551087486902572,0.9802494537632109,-5.5968852043151855,5.428343296051025,0.17554378838073828,0.7666393975758292,3260096
train,ADL,acc1_z,-0.02942119539075039,-0.07739485055208206,0.9418559029968089,0.8870925420099343,0.9423153128057269,-6.592889308929443,5.8237199783325195,0.40445877743240877,0.6140089749393747,3260096
train,ADL,gyro_x,0.00723440907867115,0.0012530937674455345,0.9000623222448423,0.8101121839247784,0.9000913956924018,-36.890625,38.15951156616211,-0.057525935689451094,35.123986377745794,3260096
train,ADL,gyro_y,0.0035467397137668518,0.003691156627610326,0.9628601685706176,0.9270997042198381,0.9628667008378861,-29.68882179260254,27.568429946899414,0.021275046935467428,48.40344209245357,3260096
train,ADL,gyro_z,-0.0038670762705257334,0.0022000427125021815,0.9374617871609701,0.87883460238704,0.9374697630675466,-38.0955696105957,37.64185333251953,-1.3369051664270093,155.066048959185,3260096
train,Fall,acc1_x,-0.11067250106759703,-0.009642857126891613,1.6430116478199206,2.6994872748719305,1.646734853388513,-13.893425941467285,11.616253852844238,-0.22918330661253739,4.476266704188345,286976
train,Fall,acc1_y,0.7145093412709655,0.8972339630126953,1.1353723434204264,1.2890703582039906,1.3414894546612952,-6.899748802185059,6.94431734085083,-0.24295533044681525,0.950300504168156,286976
