split,channel,sample_count,iqr_outliers,iqr_outlier_percentage,iqr_lower_bound,iqr_upper_bound,zscore_outliers,zscore_outlier_percentage,zscore_threshold
train,acc1_x,3547072,608827,17.16421318766577,-0.8675861284136772,0.914447970688343,15934,0.4492155783699908,3.0
train,acc1_y,3547072,44835,1.2640002796672862,-2.61112517118454,2.8744099736213684,21348,0.6018485105461632,3.0
train,acc1_z,3547072,242806,6.8452515201270225,-2.127505451440811,1.9779628217220306,6566,0.18511042347040038,3.0
train,gyro_x,3547072,678660,19.132963751511106,-0.8245520740747452,0.8620641082525253,77014,2.1711992313660393,3.0
train,gyro_y,3547072,904997,25.513916830557708,-0.6630638614296913,0.6695124730467796,75297,2.1227931093589305,3.0
train,gyro_z,3547072,1010394,28.485297169045342,-0.5424674935638905,0.5392421595752239,52181,1.4711006712014867,3.0
val,acc1_x,788480,144254,18.295200892857146,-1.0163156017661095,0.9384967461228371,2900,0.36779626623376627,3.0
val,acc1_y,788480,7656,0.9709821428571429,-2.8417218029499054,3.262299984693527,5814,0.7373681006493507,3.0
val,acc1_z,788480,61543,7.805270900974026,-1.8594025820493698,2.3445243388414383,1880,0.23843344155844154,3.0
val,gyro_x,788480,169815,21.53700791396104,-0.7797857206314802,0.8211559820920229,18025,2.286044034090909,3.0
val,gyro_y,788480,216684,27.48122970779221,-0.6338677499443293,0.6405519004911184,18157,2.3027851055194803,3.0
val,gyro_z,788480,249675,31.665356128246753,-0.47773919999599457,0.479508176445961,16705,2.1186333198051948,3.0
test,acc1_x,695936,118890,17.083467445282324,-0.9516482632607222,0.9765962529927492,2635,0.3786267702777267,3.0
test,acc1_y,695936,17040,2.4485010115872723,-2.307925045490265,2.2544633746147156,3290,0.47274462019496044,3.0
test,acc1_z,695936,2588,0.371873275703513,-2.3315408304333687,2.674340181052685,1071,0.15389346146772118,3.0
test,gyro_x,695936,147707,21.224221767518852,-0.8736659549176693,0.8968318738043308,17247,2.4782451259885967,3.0
test,gyro_y,695936,197567,28.388673671142172,-0.6910240054130554,0.7050259709358215,13200,1.8967261357366194,3.0
test,gyro_z,695936,216601,31.12369528232481,-0.5898592956364155,0.609637837857008,14303,2.0552177211697624,3.0
