split,window_index,fall_window_order,subject_id,recording_id,class_label,class_name,cluster_id,cluster_mapped_severity_label,severity_label,severity_class,anomaly_score,anomaly_flag,anomaly_marking,refined_severity_label,refined_severity_class
train,1633,0,SA01,SA01:F01_SA01_R01.txt,1,Fall,1,1,1,Severe,0.027433564744265615,0,Normal,1,Severe
train,1634,1,SA01,SA01:F01_SA01_R01.txt,1,Fall,1,1,1,Severe,-0.06532686643875096,1,Anomalous,-1,Non-applicable
train,1635,2,SA01,SA01:F01_SA01_R01.txt,1,Fall,1,1,1,Severe,-0.06569945133166843,1,Anomalous,-1,Non-applicable
train,1636,3,SA01,SA01:F01_SA01_R01.txt,1,Fall,1,1,1,Severe,-0.0730676433975308,1,Anomalous,-1,Non-applicable
train,1649,4,SA01,SA01:F01_SA01_R02.txt,1,Fall,0,0,0,Mild,0.09672127681453885,0,Normal,0,Mild
train,1650,5,SA01,SA01:F01_SA01_R02.txt,1,Fall,0,0,0,Mild,0.11181177726841568,0,Normal,0,Mild
train,1651,6,SA01,SA01:F01_SA01_R02.txt,1,Fall,0,0,0,Mild,0.10629878899865353,0,Normal,0,Mild
train,1652,7,SA01,SA01:F01_SA01_R02.txt,1,Fall,0,0,0,Mild,0.03898024027196362,0,Normal,0,Mild
train,1665,8,SA01,SA01:F01_SA01_R03.txt,1,Fall,0,0,0,Mild,0.09061027854076337,0,Normal,0,Mild
train,1666,9,SA01,SA01:F01_SA01_R03.txt,1,Fall,0,0,0,Mild,0.0981734941595157,0,Normal,0,Mild
train,1667,10,SA01,SA01:F01_SA01_R03.txt,1,Fall,0,0,0,Mild,0.10775189106645422,0,Normal,0,Mild
train,1668,11,SA01,SA01:F01_SA01_R03.txt,1,Fall,0,0,0,Mild,0.09259866584456722,0,Normal,0,Mild
train,1678,12,SA01,SA01:F01_SA01_R04.txt,1,Fall,1,1,1,Severe,0.07191548180868834,0,Normal,1,Severe
train,1679,13,SA01,SA01:F01_SA01_R04.txt,1,Fall,1,1,1,Severe,0.08273340157605363,0,Normal,1,Severe
train,1680,14,SA01,SA01:F01_SA01_R04.txt,1,Fall,1,1,1,Severe,0.09046440199540629,0,Normal,1,Severe
train,1681,15,SA01,SA01:F01_SA01_R04.txt,1,Fall,1,1,1,Severe,0.08284407636821306,0,Normal,1,Severe
train,1694,16,SA01,SA01:F01_SA01_R05.txt,1,Fall,1,1,1,Severe,0.0653001664621013,0,Normal,1,Severe
train,1695,17,SA01,SA01:F01_SA01_R05.txt,1,Fall,1,1,1,Severe,0.07085427008526596,0,Normal,1,Severe
train,1696,18,SA01,SA01:F01_SA01_R05.txt,1,Fall,1,1,1,Severe,0.07025225500347931,0,Normal,1,Severe
train,1697,19,SA01,SA01:F01_SA01_R05.txt,1,Fall,1,1,1,Severe,0.04654658683270141,0,Normal,1,Severe
train,1709,20,SA01,SA01:F02_SA01_R01.txt,1,Fall,0,0,0,Mild,0.08660277927171794,0,Normal,0,Mild
train,1710,21,SA01,SA01:F02_SA01_R01.txt,1,Fall,0,0,0,Mild,0.10490471382219585,0,Normal,0,Mild
train,1711,22,SA01,SA01:F02_SA01_R01.txt,1,Fall,0,0,0,Mild,0.10921231732495085,0,Normal,0,Mild
train,1712,23,SA01,SA01:F02_SA01_R01.txt,1,Fall,0,0,0,Mild,0.09688361145752411,0,Normal,0,Mild
train,1727,24,SA01,SA01:F02_SA01_R02.txt,1,Fall,0,0,0,Mild,0.07264752182113493,0,Normal,0,Mild
train,1728,25,SA01,SA01:F02_SA01_R02.txt,1,Fall,0,0,0,Mild,0.09014955184741213,0,Normal,0,Mild
train,1729,26,SA01,SA01:F02_SA01_R02.txt,1,Fall,0,0,0,Mild,0.09093740643570047,0,Normal,0,Mild
train,1730,27,SA01,SA01:F02_SA01_R02.txt,1,Fall,0,0,0,Mild,0.08064525844835146,0,Normal,0,Mild
train,1739,28,SA01,SA01:F02_SA01_R03.txt,1,Fall,0,0,0,Mild,0.09575149010246592,0,Normal,0,Mild
train,1740,29,SA01,SA01:F02_SA01_R03.txt,1,Fall,0,0,0,Mild,0.09888311812890216,0,Normal,0,Mild
train,1741,30,SA01,SA01:F02_SA01_R03.txt,1,Fall,0,0,0,Mild,0.09177351007853307,0,Normal,0,Mild
train,1742,31,SA01,SA01:F02_SA01_R03.txt,1,Fall,0,0,0,Mild,0.0687310878061893,0,Normal,0,Mild
train,1755,32,SA01,SA01:F02_SA01_R04.txt,1,Fall,0,0,0,Mild,0.03394533303380326,0,Normal,0,Mild
train,1756,33,SA01,SA01:F02_SA01_R04.txt,1,Fall,0,0,0,Mild,0.040575633279581635,0,Normal,0,Mild
train,1757,34,SA01,SA01:F02_SA01_R04.txt,1,Fall,0,0,0,Mild,0.038633757811033786,0,Normal,0,Mild
train,1758,35,SA01,SA01:F02_SA01_R04.txt,1,Fall,0,0,0,Mild,0.03517478239151589,0,Normal,0,Mild
train,1772,36,SA01,SA01:F02_SA01_R05.txt,1,Fall,0,0,0,Mild,0.0350281344224197,0,Normal,0,Mild
train,1773,37,SA01,SA01:F02_SA01_R05.txt,1,Fall,0,0,0,Mild,0.041505873816447325,0,Normal,0,Mild
train,1774,38,SA01,SA01:F02_SA01_R05.txt,1,Fall,0,0,0,Mild,0.04765325934610792,0,Normal,0,Mild
train,1775,39,SA01,SA01:F02_SA01_R05.txt,1,Fall,0,0,0,Mild,0.02214673166084513,0,Normal,0,Mild
train,1783,40,SA01,SA01:F03_SA01_R01.txt,1,Fall,1,1,1,Severe,0.03957669248973572,0,Normal,1,Severe
train,1784,41,SA01,SA01:F03_SA01_R01.txt,1,Fall,1,1,1,Severe,0.05917448436418943,0,Normal,1,Severe
train,1785,42,SA01,SA01:F03_SA01_R01.txt,1,Fall,1,1,1,Severe,0.0677231097735066,0,Normal,1,Severe
train,1786,43,SA01,SA01:F03_SA01_R01.txt,1,Fall,1,1,1,Severe,0.06051500821595762,0,Normal,1,Severe
train,1799,44,SA01,SA01:F03_SA01_R02.txt,1,Fall,1,1,1,Severe,0.0398903710275752,0,Normal,1,Severe
train,1800,45,SA01,SA01:F03_SA01_R02.txt,1,Fall,1,1,1,Severe,0.07117975641124585,0,Normal,1,Severe
train,1801,46,SA01,SA01:F03_SA01_R02.txt,1,Fall,1,1,1,Severe,0.07918578182398228,0,Normal,1,Severe
train,1802,47,SA01,SA01:F03_SA01_R02.txt,1,Fall,1,1,1,Severe,0.07859530300821888,0,Normal,1,Severe
train,1816,48,SA01,SA01:F03_SA01_R03.txt,1,Fall,1,1,1,Severe,0.056361300056505026,0,Normal,1,Severe
train,1817,49,SA01,SA01:F03_SA01_R03.txt,1,Fall,1,1,1,Severe,0.0660148587159165,0,Normal,1,Severe
train,1818,50,SA01,SA01:F03_SA01_R03.txt,1,Fall,1,1,1,Severe,0.06444373636141043,0,Normal,1,Severe
train,1819,51,SA01,SA01:F03_SA01_R03.txt,1,Fall,1,1,1,Severe,0.05173760007360878,0,Normal,1,Severe
train,1830,52,SA01,SA01:F03_SA01_R04.txt,1,Fall,1,1,1,Severe,0.07820441274578893,0,Normal,1,Severe
train,1831,53,SA01,SA01:F03_SA01_R04.txt,1,Fall,1,1,1,Severe,0.08654712493209588,0,Normal,1,Severe
train,1832,54,SA01,SA01:F03_SA01_R04.txt,1,Fall,1,1,1,Severe,0.0840794032481319,0,Normal,1,Severe
train,1833,55,SA01,SA01:F03_SA01_R04.txt,1,Fall,1,1,1,Severe,0.05516055659656477,0,Normal,1,Severe
