threshold,precision,recall,f1,f2
0.1,0.9360100376411543,0.9946666666666667,0.9644473173884939,0.9823544903871477
0.15,0.9454660748256183,0.994,0.9691257718557036,0.9838986406229379
0.2,0.9520460358056266,0.9926666666666667,0.9719321148825065,0.9842675832892649
0.25,0.9538757206918642,0.9926666666666667,0.9728846782097353,0.9846581140060838
0.3,0.9575016097875081,0.9913333333333333,0.9741238126433017,0.9843770687144181
0.35,0.9611901681759379,0.9906666666666667,0.9757058437294813,0.9846276172806785
0.4,0.9623621025308241,0.9886666666666667,0.9753370601775732,0.9832913406709985
0.45,0.9648666232921275,0.9886666666666667,0.9766216661178795,0.9838131882711955
0.5,0.9692609548724657,0.988,0.9785407725321889,0.9841944481338823
0.55,0.9705111402359109,0.9873333333333333,0.9788499669530734,0.9839224023385597
0.6,0.9749670619235836,0.9866666666666667,0.9807819748177601,0.9843043362596435
0.65,0.9761904761904762,0.984,0.9800796812749004,0.9824281150159745
0.7,0.9780585106382979,0.9806666666666667,0.9793608521970706,0.9801439232409381
0.75,0.979305740987984,0.978,0.9786524349566378,0.9782608695652174
0.8,0.9812458137977227,0.9766666666666667,0.978950885399265,0.9775790738022154
0.85,0.9837177747625508,0.9666666666666667,0.9751176866173503,0.9700294353759701
0.9,0.9876203576341128,0.9573333333333334,0.972241029113067,0.9632412127716662
